From Concept,To Concept,Connection Count
causation,data,12
causation,entropy,7
causation,modeling,6
causation,multivariate,6
causation,validation,5
causation,probability,5
causation,time_series,4
causation,parametric,4
causation,estimation,2
causation,scaling,2
causation,nonparametric,2
causation,dependence,2
data,probability,26
data,modeling,22
data,estimation,12
data,time_series,11
data,multivariate,10
data,scaling,10
data,parametric,9
data,entropy,9
data,validation,6
data,nonparametric,4
data,causation,4
data,dependence,4
data,univariate,3
data,network,3
dependence,probability,7
dependence,modeling,4
dependence,estimation,4
dependence,multivariate,4
dependence,parametric,3
dependence,univariate,3
dependence,scaling,2
dependence,entropy,2
dependence,data,1
dependence,nonparametric,1
dependence,validation,1
dependence,network,1
entropy,multivariate,11
entropy,probability,10
entropy,estimation,9
entropy,modeling,8
entropy,network,7
entropy,data,5
entropy,dependence,4
entropy,scaling,4
entropy,univariate,2
entropy,causation,2
entropy,parametric,2
entropy,nonparametric,1
estimation,probability,35
estimation,modeling,25
estimation,data,20
estimation,parametric,14
estimation,multivariate,9
estimation,scaling,8
estimation,entropy,7
estimation,dependence,6
estimation,time_series,5
estimation,nonparametric,4
estimation,univariate,4
estimation,network,3
estimation,validation,2
estimation,causation,2
modeling,probability,38
modeling,data,22
modeling,estimation,22
modeling,parametric,16
modeling,multivariate,14
modeling,entropy,14
modeling,scaling,9
modeling,validation,7
modeling,dependence,7
modeling,network,7
modeling,time_series,6
modeling,nonparametric,6
modeling,causation,4
modeling,univariate,3
multivariate,probability,30
multivariate,modeling,19
multivariate,estimation,18
multivariate,data,15
multivariate,scaling,13
multivariate,parametric,12
multivariate,dependence,8
multivariate,time_series,6
multivariate,univariate,5
multivariate,nonparametric,4
multivariate,validation,4
multivariate,entropy,4
multivariate,network,4
multivariate,causation,1
network,probability,13
network,modeling,11
network,entropy,9
network,estimation,8
network,causation,6
network,multivariate,6
network,parametric,5
network,data,4
network,scaling,3
network,time_series,2
network,nonparametric,2
network,validation,2
network,dependence,2
nonparametric,probability,8
nonparametric,modeling,4
nonparametric,data,4
nonparametric,entropy,4
nonparametric,estimation,3
nonparametric,parametric,3
nonparametric,multivariate,2
nonparametric,dependence,2
nonparametric,scaling,1
nonparametric,time_series,1
nonparametric,univariate,1
parametric,probability,24
parametric,modeling,18
parametric,estimation,13
parametric,data,11
parametric,multivariate,9
parametric,entropy,7
parametric,scaling,5
parametric,network,5
parametric,time_series,3
parametric,dependence,3
parametric,nonparametric,2
parametric,causation,2
parametric,validation,1
parametric,univariate,1
probability,modeling,25
probability,data,24
probability,estimation,19
probability,scaling,18
probability,parametric,13
probability,multivariate,12
probability,dependence,7
probability,time_series,7
probability,entropy,6
probability,nonparametric,6
probability,univariate,4
probability,validation,3
probability,network,3
probability,causation,2
scaling,probability,14
scaling,modeling,7
scaling,data,5
scaling,time_series,4
scaling,estimation,4
scaling,dependence,3
scaling,parametric,2
scaling,multivariate,2
scaling,univariate,2
scaling,causation,1
scaling,validation,1
scaling,nonparametric,1
time_series,data,11
time_series,probability,8
time_series,modeling,7
time_series,multivariate,6
time_series,estimation,6
time_series,scaling,5
time_series,entropy,5
time_series,causation,4
time_series,validation,2
time_series,univariate,1
time_series,network,1
time_series,nonparametric,1
time_series,parametric,1
time_series,dependence,1
univariate,probability,4
univariate,estimation,3
univariate,parametric,3
univariate,multivariate,3
univariate,data,2
univariate,modeling,2
univariate,dependence,2
univariate,nonparametric,1
univariate,entropy,1
validation,modeling,10
validation,probability,8
validation,estimation,5
validation,data,5
validation,parametric,3
validation,dependence,2
validation,scaling,2
validation,entropy,2
validation,multivariate,1
validation,time_series,1
